          table_name           |          column_name          |          data_type          
-------------------------------+-------------------------------+-----------------------------
 accompanying_guests           | id                            | bigint
 accompanying_guests           | booking_id                    | bigint
 accompanying_guests           | vorname                       | text
 accompanying_guests           | nachname                      | text
 accompanying_guests           | geburtsdatum                  | text
 accompanying_guests           | companion_id                  | bigint
 additional_services           | id                            | bigint
 additional_services           | booking_id                    | bigint
 additional_services           | service_name                  | text
 additional_services           | service_price                 | real
 additional_services           | created_at                    | text
 additional_services           | price_type                    | text
 additional_services           | original_value                | real
 additional_services           | applies_to                    | text
 audit_log                     | id                            | integer
 audit_log                     | table_name                    | text
 audit_log                     | record_id                     | integer
 audit_log                     | action                        | text
 audit_log                     | old_values                    | text
 audit_log                     | new_values                    | text
 audit_log                     | user_id                       | integer
 audit_log                     | user_name                     | text
 audit_log                     | ip_address                    | text
 audit_log                     | user_agent                    | text
 audit_log                     | timestamp                     | text
 audit_log                     | session_id                    | text
 backup_settings               | id                            | integer
 backup_settings               | auto_backup_enabled           | boolean
 backup_settings               | backup_interval               | text
 backup_settings               | max_backups                   | integer
 backup_settings               | last_backup_at                | text
 booking_attribute_assignments | id                            | bigint
 booking_attribute_assignments | booking_id                    | bigint
 booking_attribute_assignments | attribute_id                  | bigint
 booking_attribute_assignments | created_at                    | text
 booking_attributes            | id                            | bigint
 booking_attributes            | name                          | text
 booking_attributes            | emoji                         | text
 booking_attributes            | color_hex                     | text
 booking_attributes            | price_modifier_type           | text
 booking_attributes            | price_modifier_value          | real
 booking_attributes            | applies_to                    | text
 booking_attributes            | show_in_cleaning_plan         | bigint
 booking_attributes            | cleaning_plan_position        | text
 booking_attributes            | is_active                     | bigint
 booking_attributes            | created_at                    | text
 booking_attributes            | updated_at                    | text
 booking_discounts             | id                            | bigint
 booking_discounts             | booking_id                    | bigint
 booking_discounts             | discount_template_id          | bigint
 booking_services              | id                            | integer
 booking_services              | booking_id                    | integer
 booking_services              | service_template_id           | integer
 booking_services              | calculated_price              | double precision
 bookings                      | id                            | integer
 bookings                      | room_id                       | integer
 bookings                      | guest_id                      | integer
 bookings                      | reservierungsnummer           | text
 bookings                      | checkin_date                  | text
 bookings                      | checkout_date                 | text
 bookings                      | anzahl_gaeste                 | integer
 bookings                      | status                        | text
 bookings                      | gesamtpreis                   | double precision
 bookings                      | bemerkungen                   | text
 bookings                      | created_at                    | text
 bookings                      | anzahl_begleitpersonen        | integer
 bookings                      | grundpreis                    | double precision
 bookings                      | services_preis                | double precision
 bookings                      | rabatt_preis                  | double precision
 bookings                      | anzahl_naechte                | integer
 bookings                      | updated_at                    | text
 bookings                      | bezahlt                       | boolean
 bookings                      | bezahlt_am                    | text
 bookings                      | zahlungsmethode               | text
 bookings                      | mahnung_gesendet_am           | text
 bookings                      | rechnung_versendet_am         | text
 bookings                      | rechnung_versendet_an         | text
 bookings                      | ist_stiftungsfall             | boolean
 bookings                      | payment_recipient_id          | integer
 bookings                      | putzplan_checkout_date        | text
 bookings                      | ist_dpolg_mitglied            | boolean
 company_settings              | id                            | integer
 company_settings              | company_name                  | text
 company_settings              | street_address                | text
 company_settings              | plz                           | text
 company_settings              | city                          | text
 company_settings              | country                       | text
 company_settings              | phone                         | text
 company_settings              | fax                           | text
 company_settings              | email                         | text
 company_settings              | website                       | text
 company_settings              | tax_id                        | text
 company_settings              | ceo_name                      | text
 company_settings              | registry_court                | text
 company_settings              | logo_path                     | text
 company_settings              | updated_at                    | text
 discount_templates            | id                            | integer
 discount_templates            | name                          | text
 discount_templates            | description                   | text
 discount_templates            | discount_type                 | text
 discount_templates            | discount_value                | double precision
 discount_templates            | is_active                     | boolean
 discount_templates            | created_at                    | text
 discount_templates            | updated_at                    | text
 discount_templates            | emoji                         | text
 discount_templates            | color_hex                     | text
 discount_templates            | show_in_cleaning_plan         | boolean
 discount_templates            | cleaning_plan_position        | text
 discount_templates            | applies_to                    | text
 discounts                     | id                            | bigint
 discounts                     | booking_id                    | bigint
 discounts                     | discount_name                 | text
 discounts                     | discount_type                 | text
 discounts                     | discount_value                | real
 discounts                     | created_at                    | text
 email_config                  | id                            | integer
 email_config                  | smtp_server                   | text
 email_config                  | smtp_port                     | integer
 email_config                  | smtp_username                 | text
 email_config                  | smtp_password                 | text
 email_config                  | from_email                    | text
 email_config                  | from_name                     | text
 email_config                  | use_tls                       | integer
 email_config                  | created_at                    | text
 email_config                  | updated_at                    | text
 email_logs                    | id                            | integer
 email_logs                    | booking_id                    | integer
 email_logs                    | guest_id                      | integer
 email_logs                    | template_name                 | text
 email_logs                    | recipient_email               | text
 email_logs                    | subject                       | text
 email_logs                    | status                        | text
 email_logs                    | error_message                 | text
 email_logs                    | sent_at                       | text
 email_templates               | id                            | integer
 email_templates               | template_name                 | text
 email_templates               | subject                       | text
 email_templates               | body                          | text
 email_templates               | description                   | text
 email_templates               | created_at                    | text
 email_templates               | updated_at                    | text
 guest_companions              | id                            | integer
 guest_companions              | guest_id                      | integer
 guest_companions              | vorname                       | text
 guest_companions              | nachname                      | text
 guest_companions              | geburtsdatum                  | text
 guest_companions              | beziehung                     | text
 guest_companions              | notizen                       | text
 guest_companions              | created_at                    | text
 guest_credit_transactions     | id                            | integer
 guest_credit_transactions     | guest_id                      | integer
 guest_credit_transactions     | amount                        | double precision
 guest_credit_transactions     | transaction_type              | text
 guest_credit_transactions     | booking_id                    | integer
 guest_credit_transactions     | notes                         | text
 guest_credit_transactions     | created_by                    | text
 guest_credit_transactions     | created_at                    | text
 guests                        | id                            | integer
 guests                        | vorname                       | text
 guests                        | nachname                      | text
 guests                        | email                         | text
 guests                        | telefon                       | text
 guests                        | dpolg_mitglied                | boolean
 guests                        | strasse                       | text
 guests                        | plz                           | text
 guests                        | ort                           | text
 guests                        | mitgliedsnummer               | text
 guests                        | notizen                       | text
 guests                        | beruf                         | text
 guests                        | bundesland                    | text
 guests                        | dienststelle                  | text
 guests                        | created_at                    | text
 guests                        | anrede                        | text
 guests                        | geschlecht                    | text
 guests                        | land                          | text
 guests                        | telefon_geschaeftlich         | text
 guests                        | telefon_privat                | text
 guests                        | telefon_mobil                 | text
 guests                        | fax                           | text
 guests                        | geburtsdatum                  | text
 guests                        | geburtsort                    | text
 guests                        | sprache                       | text
 guests                        | nationalitaet                 | text
 guests                        | identifikationsnummer         | text
 guests                        | debitorenkonto                | text
 guests                        | kennzeichen                   | text
 guests                        | rechnungs_email               | text
 guests                        | marketing_einwilligung        | boolean
 guests                        | leitweg_id                    | text
 guests                        | kostenstelle                  | text
 guests                        | tags                          | text
 guests                        | automail                      | boolean
 guests                        | automail_sprache              | text
 notification_settings         | id                            | integer
 notification_settings         | checkin_reminders_enabled     | boolean
 notification_settings         | payment_reminders_enabled     | boolean
 notification_settings         | payment_reminder_after_days   | integer
 notification_settings         | payment_reminder_repeat_days  | integer
 notification_settings         | scheduler_interval_hours      | integer
 notification_settings         | updated_at                    | text
 payment_recipients            | id                            | integer
 payment_recipients            | name                          | text
 payment_recipients            | is_active                     | boolean
 payment_recipients            | created_at                    | timestamp without time zone
 payment_recipients            | company                       | text
 payment_recipients            | street                        | text
 payment_recipients            | plz                           | text
 payment_recipients            | city                          | text
 payment_recipients            | country                       | text
 payment_recipients            | contact_person                | text
 payment_recipients            | notes                         | text
 payment_recipients            | updated_at                    | timestamp without time zone
 payment_settings              | id                            | integer
 payment_settings              | bank_name                     | text
 payment_settings              | iban                          | text
 payment_settings              | bic                           | text
 payment_settings              | account_holder                | text
 payment_settings              | mwst_rate                     | double precision
 payment_settings              | payment_due_days              | integer
 payment_settings              | reminder_after_days           | integer
 payment_settings              | payment_text                  | text
 payment_settings              | updated_at                    | text
 payment_settings              | dpolg_rabatt                  | double precision
 price_history                 | id                            | bigint
 price_history                 | room_id                       | bigint
 price_history                 | season_id                     | bigint
 price_history                 | old_price                     | real
 price_history                 | new_price                     | real
 price_history                 | changed_by                    | text
 price_history                 | change_reason                 | text
 price_history                 | created_at                    | text
 pricing_settings              | id                            | integer
 pricing_settings              | hauptsaison_aktiv             | boolean
 pricing_settings              | hauptsaison_start             | text
 pricing_settings              | hauptsaison_ende              | text
 pricing_settings              | mitglieder_rabatt_aktiv       | boolean
 pricing_settings              | mitglieder_rabatt_prozent     | double precision
 pricing_settings              | rabatt_basis                  | text
 pricing_settings              | updated_at                    | text
 reminder_settings             | id                            | integer
 reminder_settings             | auto_reminder_incomplete_data | boolean
 reminder_settings             | auto_reminder_payment         | boolean
 reminder_settings             | auto_reminder_checkin         | boolean
 reminder_settings             | auto_reminder_invoice         | boolean
 reminder_settings             | updated_at                    | text
 reminder_settings             | auto_reminder_confirmation    | boolean
 reminders                     | id                            | integer
 reminders                     | booking_id                    | integer
 reminders                     | reminder_type                 | text
 reminders                     | title                         | text
 reminders                     | description                   | text
 reminders                     | due_date                      | text
 reminders                     | priority                      | text
 reminders                     | is_completed                  | boolean
 reminders                     | completed_at                  | text
 reminders                     | is_snoozed                    | boolean
 reminders                     | snoozed_until                 | text
 reminders                     | created_at                    | text
 reminders                     | updated_at                    | text
